Customer_ID,SSN,monthly_inhand_salary,num_bank_accounts,num_credit_card,interest_rate,num_of_loan,delay_from_due_date,num_of_delayed_payment,changed_credit_limit,num_credit_inquiries,credit_mix,outstanding_debt,credit_utilization_ratio,credit_history_age,payment_of_min_amount,total_emi_per_month,amount_invested_monthly,payment_behaviour,monthly_balance
CUS_0x3553,084-25-3745,7449.469347,6,6,12,0,18,8,17.92,1,Standard,107.41,25.71557884,27.16666667,Yes,0,451.2465194,Low_spent_Small_value_payments,646.6819806
CUS_0x4100,068-83-4394,1512.361667,6,7,17,5,51,19,9.95,7,Bad,2430.21,28.05884596,18.16666667,Yes,49.57206224,173.0425508,Low_spent_Small_value_payments,218.6215536
CUS_0xa16e,905-50-7912,1074.584583,7,5,17,5,48,0,8.97,6,Bad,1672.43,25.95127289,10.08333333,Yes,37.58807284,14.62273924,High_spent_Large_value_payments,295.2476463
CUS_0xac86,028-16-4402,8873.4275,4,4,1,0,5,6,0.86,0,Good,76.23,28.82055378,33.08333333,No,0,345.6091354,High_spent_Medium_value_payments,791.7336146
CUS_0xa5f9,189-09-5267,4720.926667,9,8,31,8,47,19,7.27,12,Bad,3532.83,32.32176946,12.25,Yes,200.4326134,265.7062119,Low_spent_Small_value_payments,295.9538413
CUS_0x4d43,013-39-0742,1999.3075,8,6,14,3,22,14,-2.87,3,Standard,614.6,29.33902944,18.16666667,No,42.22199266,155.460944,Low_spent_Small_value_payments,292.2478133
CUS_0x3edc,663-16-3845,3622.186667,3,3,18,1,11,8,8.97,4,Standard,1233.1,27.98070066,19.16666667,Yes,30.57608482,397.0022489,Low_spent_Small_value_payments,224.6403329
CUS_0xbffe,311-13-7309,2210.0325,6,3,15,3,25,12,4.89,2,Standard,400.07,37.50455238,30.58333333,Yes,69.60292048,61.62810913,High_spent_Medium_value_payments,339.7722204
CUS_0x9a71,889-07-2357,1684.168333,1,5,1,2,5,6,6.83,4,Good,413.32,35.94290749,18.25,No,29.53458372,74.21434055,Low_spent_Large_value_payments,334.6679091
CUS_0x6048,425-47-6723,1387.303333,7,7,19,6,31,20.71428571,5.07,7,Bad,1793.54,25.5852052,19.08333333,Yes,65.13948778,24.34618841,High_spent_Large_value_payments,289.2446572
CUS_0x4004,679-26-6464,4664.75,8,5,9,6,18,17,16.58,6,Standard,98.97,40.41111483,13.08333333,Yes,149.8971994,109.4889496,High_spent_Medium_value_payments,467.088851
CUS_0xb101,253-91-2822,3764.331667,2,7,10,3,4,10,2.58,4,Good,556.91,31.74521339,21.75,No,102.7629131,150.313187,High_spent_Medium_value_payments,373.3570666
CUS_0x4080,995-37-8920,2227.831667,7,7,24,5,53,21,26.94,11,Bad,3421.66,24.63965803,13.25,Yes,69.68545857,59.82559612,High_spent_Medium_value_payments,363.272112
CUS_0x706a,431-58-4893,6284.613333,4,5,17,4,14,21,2.74,1,Standard,1173.7,32.83357784,28.25,No,215.8391706,117.3102589,High_spent_Large_value_payments,535.3119038
CUS_0x571f,397-28-9675,5800.276667,5,7,5,2,7,15,7.67,0.285714286,Standard,233.79,34.45627234,24.25,No,100.1893609,251.6474222,Low_spent_Small_value_payments,518.1908835
CUS_0xb5ff,060-81-1328,853.8245833,5,5,13,0,22,14,7.58,1,Standard,602.5,32.4690579,17.41666667,No,0,64.52797054,Low_spent_Small_value_payments,310.8544878
CUS_0x9bc1,445-18-4420,1740.539167,6,3,14,4,6,0,13.74,6,Standard,749.95,25.82415682,10.91666667,Yes,49.34866632,145.900478,Low_spent_Small_value_payments,268.8047724
CUS_0xc65,473-91-5845,12432.61,3,4,5,3,10,3,10.2,1,Good,949.38,34.26155637,30.91666667,No,364.9151774,264.7984248,High_spent_Large_value_payments,853.5473978
CUS_0x8e9b,925-51-5335,4369.4825,10,10,18,8,30,20,27.99,11,Bad,3422.49,27.07054347,10.5,Yes,314.9017853,348.7994885,Low_spent_Small_value_payments,63.24697621
CUS_0x609d,911-47-6879,1057.435833,7,10,33,9,59,24,8.82,11,Bad,2797.17,27.64251073,14.25,Yes,58.86844084,105.7567546,Low_spent_Medium_value_payments,221.1183879
CUS_0x9b3c,224-48-7837,6810.19,10,9,25,9,20,19,16.25,9,Bad,3053.16,39.43016631,0.333333333,Yes,574.0657979,162.5887242,High_spent_Medium_value_payments,194.364478
CUS_0x22a3,477-90-5881,8279.375,8,4,11,2,22,13,11.94,2,Standard,1079.73,37.20726208,31.91666667,No,95.52162878,517.8021721,High_spent_Small_value_payments,474.6136991
CUS_0xb986,180-88-7800,3224.935,9,9,16,5,57,21,17.25,10,Bad,3119.6,30.18805936,12.41666667,Yes,133.4708452,198.9967508,Low_spent_Medium_value_payments,270.025904
CUS_0xbe1b,853-17-1579,1012.48,8,5,21,8,62,21,12.51,6,Bad,4071.62,26.42915211,12.58333333,Yes,81.71265501,68.39474883,Low_spent_Small_value_payments,179.1095355
CUS_0x6ffb,716-35-4628,1654.615,6,3,7,7,8,13,15.06,6,Standard,2431.64,29.41972183,11.33333333,Yes,57.35116519,81.58417767,Low_spent_Small_value_payments,273.3735401
CUS_0x4315,908-69-0212,3132.524167,8,7,6,4,14,19,5.79,5,Standard,125.25,28.3106512,25,No,95.80071292,114.4824364,High_spent_Medium_value_payments,352.9692673
CUS_0x9d78,423-77-6457,5978.466667,10,7,20,9,49,18,6.81,11,Bad,3042.36,37.2171993,12.66666667,Yes,485.750431,405.1493636,Low_spent_Small_value_payments,161.1930168
CUS_0x47db,507-34-4117,6449.373333,9,5,29,7,27,17,15.27,9,Bad,1746.9,37.47919344,10.41666667,Yes,291.7827603,285.5864042,Low_spent_Medium_value_payments,75.19634822
CUS_0x7d0b,226-77-0587,1459.133333,10,8,20,7,54,0,23.58,12,Bad,4834.59,38.16554553,10.16666667,Yes,78.41827155,69.78240333,Low_spent_Small_value_payments,287.7126585
CUS_0x7504,389-89-4542,5936.78,7,3,18,4,15,20,13.92,2,Standard,1219.39,33.0159281,31.41666667,Yes,214.8134632,424.0584112,Low_spent_Small_value_payments,244.8061256
CUS_0x9f70,147-76-6929,10115.05,5,1,4,0,13,10,3.69,4,Good,191.09,29.14953015,17.08333333,No,0,227.6187415,High_spent_Large_value_payments,1023.886258
CUS_0xab76,878-90-6321,5197.508333,5,7,5,7,17,10,14.79,9,Standard,1037.45,32.16686073,13.5,Yes,220.2137267,96.8446731,High_spent_Medium_value_payments,452.6924335
CUS_0x2184,496-44-5947,4295.4075,8,7,28,6,36,20,18.42,8,Bad,4795.13,35.80248914,2.916666667,Yes,169.4819843,479.5857747,Low_spent_Small_value_payments,70.47299093
CUS_0xa156,405-46-7599,4824.555,8,5,15,4,57,23,1.29,11,Bad,2425.38,34.14221724,13.41666667,Yes,116.1034169,113.3959015,High_spent_Large_value_payments,492.9561816
CUS_0x308b,547-23-7195,3507.295,8,8,24,6,21,20,9.78,9,Bad,2497.48,26.63171974,16.33333333,Yes,148.9132734,39.83022939,High_spent_Medium_value_payments,401.9859972
CUS_0x2827,486-07-1289,11809.56,0,3,7,2,14,7,6.08,1,Good,1045.11,39.20382495,23.25,No,136.9885566,402.9738623,Low_spent_Small_value_payments,14.11872663
CUS_0x6c2e,558-25-1337,1584.78875,2,3,9,2,6,8,3.9,1,Good,327.88,27.53134292,30.75,No,24.82142498,52.09642061,Low_spent_Small_value_payments,351.5610294
CUS_0x384c,813-91-8749,690.1116667,8,9,31,5,61,13,29.52,8,Bad,4984.82,28.49691824,4.75,Yes,36.67512792,37.94400952,High_spent_Small_value_payments,254.3920292
CUS_0x36ab,925-44-1671,3580.4575,10,7,30,6,36,17,8.47,10,Bad,2174.16,39.78232874,12.16666667,Yes,162.2389631,410.1902491,Low_spent_Small_value_payments,75.61653778
CUS_0x6649,548-03-9919,2767.231667,8,5,17,0,8,10,10.06,0,Standard,996.54,25.34390218,32.25,Yes,0,338.0036515,Low_spent_Small_value_payments,228.7195152
CUS_0xa27e,898-94-0497,1214.778333,6,5,5,1,11,20,5.62,0,Standard,1093.87,31.55554039,17.25,No,10.53555561,97.55551351,Low_spent_Medium_value_payments,293.3867642
CUS_0x700d,992-49-2793,3969.5975,6,6,29,7,44,19,23.21,11,Bad,3818.57,27.73718317,12.91666667,Yes,248.5998859,312.0946329,High_spent_Medium_value_payments,106.2652312
CUS_0x6794,204-14-2702,8527.755,3,3,6,1,4,9,3.11,2,Good,1374.56,32.6855216,25.58333333,No,64.00168567,419.8688229,High_spent_Medium_value_payments,857.8262026
CUS_0xe2c,755-51-7133,2756.103333,7,7,11,4,16,20,5.21,7,Standard,852.81,34.13944939,33.16666667,No,90.75917846,153.4035982,High_spent_Small_value_payments,291.4475567
CUS_0xa77f,074-21-6507,3047.676667,7,5,12,3,17,18,18.53,4,Standard,660.69,24.79435667,17.75,Yes,58.48765734,404.2182245,Low_spent_Small_value_payments,132.0617849
CUS_0x1e70,772-58-9547,1437.779167,6,5,17,7,60,16,27.64,6,Bad,3865.15,22.86545917,7.75,Yes,71.54474307,60.9873781,Low_spent_Medium_value_payments,291.2457955
CUS_0x71e0,330-96-0638,1548.245833,1,7,5,4,1,2,11.41,3,Good,343.84,36.74315458,28.25,No,34.81396986,81.67810682,High_spent_Small_value_payments,298.3325067
CUS_0x4af0,397-45-5329,2518.839167,7,3,11,4,12,17,7.68,6,Standard,919.76,24.73337424,29.5,No,73.23331848,58.00991024,High_spent_Small_value_payments,380.6406879
CUS_0x240d,087-22-6137,10872.26506,3,3,18,0,17,18,9.94,3,Standard,519.3,32.7110284,19.91666667,No,0,382.2110719,High_spent_Medium_value_payments,1031.076261
CUS_0x2652,062-29-3192,1557.4375,2,1,4,0,14,8,5.27,3,Good,363.51,39.85047617,20.41666667,No,0,49.56528039,Low_spent_Medium_value_payments,386.1784696
CUS_0x28b5,016-73-2103,1899.405,6,5,7,0,14,17,15.82,5,Standard,35.54,34.05823767,28.58333333,Yes,0,84.46263179,Low_spent_Large_value_payments,375.4778682
CUS_0x8643,198-08-9791,1086.7575,7,10,21,8,36,19,19.42,16,Bad,4845.24,30.9895037,13.41666667,Yes,49.03239547,64.58804985,Low_spent_Large_value_payments,265.0553047
CUS_0x3f04,465-93-9571,3454.528333,5,6,12,2,9,2,4.18,1,Good,1194.28,29.31789666,33.08333333,No,56.31142051,229.2590696,High_spent_Small_value_payments,319.8823432
CUS_0x62c6,860-36-1556,11877.47333,3,4,15,4,5,16,10.1,2,Standard,404.51,35.32552064,26.08333333,Yes,414.6560132,443.9157278,High_spent_Medium_value_payments,579.1755923
CUS_0x618b,550-94-8995,1533.925,6,8,19,5,20,20,5.2,10,Bad,3598.39,27.22856802,4.75,Yes,64.55062049,190.0547612,Low_spent_Small_value_payments,188.7871183
CUS_0x7250,651-67-7536,6858.7275,3,4,11,1,12,14,1.83,2,Good,585.05,38.05151985,31.91666667,No,68.45896611,95.81963874,High_spent_Medium_value_payments,771.5941452
CUS_0xb6ad,584-60-4961,5235,10,5,32,4,16,19,19.44,12,Standard,1755.81,27.37324216,8.75,Yes,189.4265307,218.2076697,High_spent_Medium_value_payments,365.8657996
CUS_0x7878,037-28-6132,2582.813333,7,3,5,1,16,10,4.32,0,Standard,1237.46,36.48458788,24.58333333,No,22.68817758,236.8815961,Low_spent_Medium_value_payments,288.7115597
CUS_0x7a0f,838-98-6353,2904.068333,9,6,32,4,34,22,3.44,11,Bad,1973.63,37.66455307,19.33333333,Yes,74.85037188,74.79251895,High_spent_Medium_value_payments,390.7639425
CUS_0x1c09,365-73-8387,5733.02,5,5,11,0,17,12,13.65,2,Standard,1460.8,34.37396536,22.33333333,Yes,0,247.4272856,High_spent_Small_value_payments,585.8747144
CUS_0x9073,751-65-6458,2761.565833,7,5,12,0,28,20,9.75,2,Standard,358.6,30.79484745,22.75,No,0,220.5130602,Low_spent_Large_value_payments,325.6435231
CUS_0x2813,#F%$D@*&8,1213.283333,5,5,9,1,21,14,5.04,1,Good,330.17,30.23488554,21.91666667,No,11.68573457,136.4954553,Low_spent_Small_value_payments,263.1471434
CUS_0x8c69,070-07-9414,1851.335,4,3,6,3,10,5,1.31,0,Good,399.92,28.54258478,20.16666667,No,25.58028082,147.6362135,Low_spent_Large_value_payments,281.9170057
CUS_0x365a,026-57-5729,3260.465,0,5,10,0,7,0,6.42,7,Good,646.47,32.69081341,28.41666667,No,0,36.94720504,High_spent_Medium_value_payments,539.099295
CUS_0x9c67,977-57-0254,2430.718333,6,6,7,2,19,7,9.33,4,Standard,687.87,31.02265867,15.33333333,Yes,42.97244102,96.7289942,High_spent_Medium_value_payments,353.3703981
CUS_0x7caf,628-85-7991,12353.63333,2,2,12,2,9,0,4.21,1,Good,1250.67,26.78468276,20.58333333,No,192.2064833,396.4144419,Low_spent_Medium_value_payments,926.7424081
CUS_0x5e17,970-52-2075,1662.626667,6,9,34,8,15,21,22.79,10,Bad,3135.02,37.82075621,2.25,Yes,130.4754707,77.06641227,Low_spent_Small_value_payments,248.7207837
CUS_0x1288,609-85-2725,5163.1775,10,8,31,8,26,21,17.49,9,Bad,3947.24,35.40968589,5.166666667,Yes,378.3046734,464.5784432,Low_spent_Small_value_payments,238.332338
CUS_0x2365,552-90-7532,4517.86,8,10,25,9,41,23,21.31,7,Bad,4428.64,40.4575377,1.416666667,Yes,256.2341792,156.8069822,Low_spent_Medium_value_payments,53.7543837
CUS_0x8a04,966-14-4315,1294.751667,8,5,15,5,9,19,10.3,10,Standard,2103.99,27.19345256,15.66666667,Yes,60.64699329,39.90549924,High_spent_Medium_value_payments,278.9226741
CUS_0x21e6,328-75-6365,7914.5725,2,6,2,0,9,0,9.24,3,Good,1487.9,27.61540225,22.08333333,No,0,626.30901,Low_spent_Small_value_payments,455.14824
CUS_0xa9a6,600-76-4920,5382.748333,4,5,12,2,29,13,14.78,4,Standard,89.62,37.3898604,31.08333333,Yes,69.10085253,297.076034,High_spent_Small_value_payments,440.9182314
CUS_0x3fbf,#F%$D@*&8,2300.368333,6,5,16,2,18,14,11.85,7,Standard,1073.94,41.02732543,27.08333333,Yes,36.06763128,128.2161902,High_spent_Small_value_payments,325.7530119
CUS_0x953c,380-11-4962,11203.72667,3,3,10,2,11,8,10.28,2,Good,89.68,27.62293379,28,No,144.8306823,514.0429431,Low_spent_Large_value_payments,731.4990412
CUS_0x2947,742-36-4668,3006.266667,1,6,6,4,17,5.142857143,11.56,3,Good,869.99,34.98833625,18.33333333,No,74.69027138,386.8995613,Low_spent_Small_value_payments,129.0368339
CUS_0x30e0,644-19-7211,3357.9625,0,3,8,4,15,4,11.25,3,Good,1480.92,35.28428516,24.66666667,No,109.6141467,173.2033694,Low_spent_Small_value_payments,223.4435146
CUS_0x1e9b,866-51-6415,873.1079167,5,8,33,6,17,16,5.12,10,Standard,2569.3,30.21890538,5.583333333,Yes,47.08567447,96.30724364,Low_spent_Small_value_payments,255.5848048
CUS_0x3b88,944-94-9536,1497.776667,3,6,5,5,23,14,7.81,5,Standard,2008.06,30.09094621,16.91666667,Yes,76.21247401,166.2444409,Low_spent_Small_value_payments,197.3207518
CUS_0xb7ef,786-92-9485,1127.144167,7,4,14,6,23,12,8.22,5,Standard,1403.17,31.79668961,11.75,Yes,51.54792416,75.20945229,Low_spent_Small_value_payments,265.9570402
CUS_0xb288,390-44-4596,10693.55667,4,3,20,3,8,12,7.28,0,Standard,385.8,34.86719994,26.25,Yes,239.7673293,408.2953699,High_spent_Medium_value_payments,671.2929675
CUS_0x9495,#F%$D@*&8,2847.000833,6,5,10,3,21,9,8.12,1,Standard,512.38,29.74634663,27.91666667,No,66.67641331,270.2397718,Low_spent_Small_value_payments,237.7838982
CUS_0x64f1,955-39-6420,9810.93,8,4,20,4,15,20,9.76,1,Standard,140.26,30.1391876,31.66666667,No,301.5608682,385.9339029,Low_spent_Large_value_payments,508.6532572
CUS_0xc1c9,085-10-1065,1951.603333,3,7,6,1,26,14,0.67,2,Good,784.35,36.68708626,21.08333333,No,13.88630543,22.73334864,High_spent_Large_value_payments,398.5406793
CUS_0x230a,902-99-6202,2621.274167,4,1,7,0,4,2,3.22,1,Good,1496.38,36.65870652,24.5,No,0,210.6243801,Low_spent_Large_value_payments,321.5030366
CUS_0x682f,941-62-4990,6327.616667,6,5,20,6,52,17,26.16,8,Bad,4167.43,26.0383526,13.25,Yes,309.5754021,142.361499,High_spent_Large_value_payments,420.8247656
CUS_0x4831,696-84-8348,3133.171667,0,1,11,3,4,4,5.71,0,Good,1374.23,26.77336524,16.16666667,No,78.09310674,59.75858627,High_spent_Medium_value_payments,425.4654737
CUS_0x710f,805-31-3666,2890.841667,7,9,27,6,57,20,7.06,9,Standard,2362.68,33.84241128,18,Yes,158.6079272,186.6985264,Low_spent_Small_value_payments,233.7777131
CUS_0xa54b,732-98-2688,7795.8775,2,6,2,2,6,8,4.95,4,Good,1295.18,38.66431766,30.91666667,No,130.8508578,371.4258097,Low_spent_Medium_value_payments,557.3110826
CUS_0xb000,087-15-2781,2258.7175,3,3,15,1,30,8,8.83,8,Standard,180.94,35.62726893,15.83333333,Yes,17.97585099,128.3534494,Low_spent_Small_value_payments,369.5424496
CUS_0x2584,#F%$D@*&8,5190.618333,8,5,6,3,12,19.71428571,0.52,4,Standard,203.03,30.37106369,20.5,No,107.9372413,171.767829,High_spent_Small_value_payments,499.356763
CUS_0xc341,982-11-3853,3566.760833,4,3,9,3,14,2,8.56,2,Good,900.83,37.27591161,23.08333333,No,103.0330777,120.203879,Low_spent_Medium_value_payments,413.4391267
CUS_0x1a96,405-79-5399,2127.115,3,5,2,0,1,5,7.82,4,Good,467.64,23.91529125,19.25,No,0,177.0887087,Low_spent_Large_value_payments,305.6227913
CUS_0x31d5,325-07-8725,1273.740417,0,4,4,0,9,3,1.38,4,Good,1287.59,27.65170151,25.16666667,No,0,109.2644006,Low_spent_Small_value_payments,251.6506322
CUS_0x45f7,322-37-0548,1726.445833,7,4,6,2,22,17,11.63,2,Standard,816.46,28.15432154,19.16666667,No,28.07196547,84.41866077,High_spent_Small_value_payments,320.1539571
CUS_0x5b80,549-37-6666,513.01875,7,7,14,5,6,19,11.87,7,Standard,540.07,27.51300973,8.083333333,Yes,20.68610769,32.37729898,Low_spent_Small_value_payments,288.2384683
CUS_0xa548,064-39-6784,2930.121667,10,8,32,6,56,19,2.49,15,Bad,4445.32,28.41173359,8.25,Yes,113.3910842,37.42498443,High_spent_Medium_value_payments,392.196098
CUS_0x54c0,934-98-5531,1886.955833,10,8,34,9,38,15,26.43,12,Bad,4404.48,26.51448318,5.666666667,Yes,84.61643173,87.58752722,Low_spent_Small_value_payments,306.4916244
CUS_0x258b,890-04-0712,5379.896667,0,6,1,2,29,10,7.06,2,Good,276.91,23.33091259,19,No,80.10017431,374.667545,Low_spent_Large_value_payments,353.2219474
CUS_0x8e75,854-67-0053,5989.731667,1,7,3,2,5,3,1.75,2,Good,877.06,36.97651581,24.83333333,No,69.71794787,433.1852678,Low_spent_Medium_value_payments,376.069951
CUS_0xf95,#F%$D@*&8,1389.38,9,5,25,3,31,24,8.08,13,Bad,2686.18,37.20855788,19.66666667,Yes,37.91235014,62.34275238,High_spent_Small_value_payments,298.6828975
CUS_0x8db8,451-74-2945,2733.583333,8,3,14,2,21,8,14.68,1,Standard,611.04,24.10101884,20.08333333,Yes,35.55369086,195.2840071,Low_spent_Small_value_payments,332.5206354
CUS_0x1e63,#F%$D@*&8,1089.433333,10,10,21,7,23,0,16.88,12,Standard,1409.58,30.80777958,15.58333333,Yes,41.43157634,95.82957307,Low_spent_Small_value_payments,311.9552779
CUS_0xc37b,919-05-3349,908.2704167,8,6,29,8,45,19,7.75,7,Bad,1684.06,32.48217556,18.41666667,Yes,52.83913367,94.75302405,Low_spent_Small_value_payments,233.2348839
CUS_0xfcc,388-13-4625,7098.226667,8,5,13,1,14,10,15.51,8,Standard,455.22,29.96454401,28,Yes,45.26468138,182.1269494,Low_spent_Large_value_payments,752.4310359
CUS_0x9574,778-83-5214,1234.542917,3,4,6,4,8,1,9.37,2,Good,257.85,30.0612628,32.91666667,No,35.62637254,11.91253583,High_spent_Large_value_payments,315.9153833
CUS_0xbc88,648-41-8012,2184.576667,8,6,32,7,49,16,26.17,11,Bad,2989.13,36.07550414,7.166666667,Yes,132.4811279,194.7423576,Low_spent_Large_value_payments,161.2341812
CUS_0xc51,269-33-7962,1169.579583,8,4,7,2,26,8,4.72,1,Standard,889.62,33.26282623,25.91666667,No,14.8851947,44.42759779,High_spent_Small_value_payments,317.6451658
CUS_0x9536,782-09-5812,9279.563333,4,4,5,4,30,19,5.86,2,Standard,1358.65,26.14313661,23.5,No,236.2776578,256.6155198,Low_spent_Medium_value_payments,715.0631558
CUS_0xb282,273-80-9678,11205.82,2,3,3,2,19,2,1.53,2,Good,816.21,35.46722492,21.25,No,185.4121959,239.2669445,High_spent_Large_value_payments,935.9028596
CUS_0xb9b8,867-87-8867,2805.87,2,5,5,3,9,11,9.54,0,Good,1339.6,30.11502584,22,No,80.21419154,95.19105821,Low_spent_Large_value_payments,375.1817503
CUS_0x3702,#F%$D@*&8,1304.910833,5,7,20,0,17,0,19.34,4,Standard,265.86,37.31055443,18.25,Yes,0,91.65269595,Low_spent_Small_value_payments,328.8383874
CUS_0x8a0f,419-92-2278,6955.293333,6,9,27,8,26,20,28.02,10,Bad,4525.08,26.02276244,10.66666667,Yes,363.2373117,122.236813,High_spent_Large_value_payments,450.0552087
CUS_0x8c1f,471-06-8456,694.0841667,6,7,30,5,54,0,12.66,0,Standard,2086.22,31.13203623,14.75,Yes,33.60279492,47.82292504,Low_spent_Small_value_payments,277.9826967
CUS_0x67e1,298-35-2655,11304.66333,8,4,6,0,12,17,7.45,1,Good,429.77,29.63807373,18.66666667,No,0,771.7409074,Low_spent_Medium_value_payments,638.725426
CUS_0x5761,154-57-8374,2767.995,10,9,15,5,42,20,7.67,10,Bad,2593.23,34.82247159,16.16666667,Yes,101.6474842,259.5470019,Low_spent_Large_value_payments,185.6050139
CUS_0x9a4a,#F%$D@*&8,4600.375,7,5,32,3,46,27,7.2,12,Bad,2196.59,39.3796369,8.916666667,Yes,112.6957682,169.8595105,High_spent_Medium_value_payments,427.4822213
CUS_0x6325,964-44-0435,1122.219167,4,3,18,5,22,16,12.83,4,Standard,2098.83,22.70534476,11.33333333,Yes,44.04040477,119.2646219,Low_spent_Small_value_payments,238.91689
CUS_0x4e3c,624-70-5384,8205.496667,4,6,6,0,7,10,6.46,3,Good,750.95,34.21771027,28.5,No,0,313.6705382,High_spent_Medium_value_payments,756.8791285
CUS_0xb374,946-08-9738,2494.856667,1,5,12,2,19,1,11.71,2,Good,957.53,29.96391714,21.25,No,30.33820426,170.0640941,Low_spent_Small_value_payments,418.9625465
CUS_0x1d4e,182-25-5092,2137.5275,3,4,19,0,13,11,10.98,8,Standard,761.18,35.25285683,31.75,Yes,0,64.22191843,Low_spent_Medium_value_payments,429.5308316
CUS_0x93ff,237-50-9740,3211.081667,5,5,10,1,16,3,1.98,1,Good,133.3,39.88622693,21.25,No,31.90658017,73.87093984,High_spent_Medium_value_payments,465.3306467
CUS_0x3e2d,958-76-6001,9888.55,4,7,2,4,12,8,0.8,6,Good,1396.64,29.06637861,20.91666667,No,233.4424036,860.4550593,Low_spent_Medium_value_payments,174.9575371
CUS_0x88a0,266-68-0248,6155.64,6,3,9,4,18,12,13.73,2,Standard,50.22,24.53002466,21.58333333,Yes,232.066077,424.8286523,High_spent_Large_value_payments,238.6692707
CUS_0x543f,333-87-6291,4417.745,6,7,26,8,39,24,0.63,8,Bad,2958.02,29.49744728,7.583333333,Yes,257.6594545,508.8561454,Low_spent_Small_value_payments,263.1515439
CUS_0x23a6,564-11-2906,1395.387917,8,6,13,1,27,10,8.1,1,Standard,1343.01,40.91960544,32.66666667,No,7.642056541,82.13893654,Low_spent_Small_value_payments,309.7577986
CUS_0xa874,742-30-5692,11584.51,3,4,8,2,3,1,2.58,3,Good,282.56,23.98679115,24.58333333,No,183.7595131,772.9155703,Low_spent_Medium_value_payments,481.7759166
CUS_0x8208,084-02-0981,8102.175,1,4,5,3,4,6,1.63,4,Good,1342.61,26.063001,29.75,No,152.5068947,431.9920662,High_spent_Medium_value_payments,719.6850633
CUS_0xb35f,794-17-7391,2455.285833,8,3,12,4,21,12,8.49,5,Standard,1205.36,31.45604385,22.41666667,Yes,74.73897797,84.92441356,Low_spent_Small_value_payments,375.8651918
CUS_0x49da,915-13-4225,7886.52,3,3,13,1,9,13,19.79,0,Standard,482.88,40.76449784,25.58333333,Yes,72.4602111,223.2239756,High_spent_Medium_value_payments,742.9678133
CUS_0x5d94,653-16-0086,10514.2025,0,1,9,3,17,4,7.33,3,Good,1197.33,36.89437312,28.16666667,No,168.0066864,294.8405643,High_spent_Small_value_payments,848.5729993
CUS_0xbda3,016-19-9621,2431.045,7,9,16,2,59,16,18.91,10,Standard,2203.46,26.56320546,13.75,Yes,35.63379962,286.5592868,Low_spent_Small_value_payments,210.9114136
CUS_0x29fd,165-17-6571,625.46875,7,9,31,6,28,18,16.01,14,Bad,2518.98,21.87754393,8.5,Yes,24.40931155,36.52624344,Low_spent_Medium_value_payments,281.61132
